,PDB,RFree,Rwork,Resolution,Spacegroup
35086,4kp7,0.2487,,2.0,P 1 21 1
35087,1l9s,0.197,,1.78,P 21 21 21
35088,4au3,0.2338,,2.78,P 41 2 2
35089,4lcj,0.2506,,2.86,P 1 21 1
35090,5qbx,0.227,,2.1,P 1
35091,1as0,0.259,,2.0,P 32 2 1
35092,3ffi,0.28453,,2.6,C 2 2 21
35093,3qr5,0.25,,2.3,C 1 2 1
35094,4anx,0.28187,,2.73,C 1 2 1
35095,3taz,0.2794,,3.2,P 21 21 21
35096,4l4s,0.2463,,2.9,P 41 2 2
35097,3qe2,0.239,,1.75,P 21 21 21
35098,3thc,0.228,,1.8,P 1 21 1
35099,6apq,0.2167,,1.9,P 65 2 2
35100,3b7l,0.2022,,1.95,P 41 21 2
35101,4lc4,0.2383,,1.7,P 1 21 1
35102,5qh5,0.211,,1.85,P 3 2 1
35103,1crw,0.226,,2.0,C 1 2 1
35104,1bbu,0.297,,2.7,P 61 2 2
35105,3bje,0.184,,1.44,P 1 21 1
35106,7bla,0.161,,1.09,P 21 21 21
35107,7t1m,0.2197,,1.6,P 21 21 21
35108,6i9t,0.1371,,1.2,F 4 3 2
35109,5w0v,0.234,,2.82,P 1
35110,8be4,0.1986,,1.9,I 4
35111,2ac3,0.25444,,2.1,P 32 2 1
35112,2f9s,0.17529,,1.4,P 65
35113,5l4t,0.2178,,1.9,P 21 2 21
35114,5qcm,0.244,,2.2,P 32 2 1
35115,5aup,0.2385,,3.1,P 21 21 2
35116,1qwu,0.189,,2.03,P 21 21 21
35117,6qyk,0.2663,,2.3,P 21 21 2
35118,4b2k,0.19725,,1.7,F 41 3 2
35119,6aav,0.2543,,1.72,P 2 21 21
35120,2avv,,,1.5,P 1 21 1
35121,2b4u,0.232,,2.0,P 1 21 1
35122,2vv9,0.228,,1.9,P 21 21 21
35123,7ako,0.2351,,1.8,P 1 21 1
35124,7cjy,0.2338,,2.2,C 1 2 1
35125,2ayu,0.28,,3.0,P 43 21 2
35126,7f70,0.224,,2.14,I 41 2 2
35127,4i8d,0.2702,,2.48,C 1 2 1
35128,8bkf,0.1502,,1.22,P 21 21 21
35129,2cji,0.242,,2.1,P 21 21 21
35130,4z1k,0.1696,,1.35,P 1 21 1
35131,6b4c,0.2107,,2.79,P 21 21 21
35132,6ic6,0.1858,,1.9,I 2 2 2
35133,4ib2,0.1844,,1.76,P 1
35134,8cem,0.2844,,3.0,P 21 21 2
35135,3ibd,0.228,,2.0,C 1 2 1
35136,3qfp,0.265,,2.26,P 21 21 21
35137,4l9h,0.234,,2.0,P 43 21 2
35138,6ymk,0.2638,,2.03,C 1 2 1
35139,6a15,0.187,,1.79,P 21 21 21
35140,7qf3,0.1702,,1.1,P 43 21 2
35141,8cge,0.2483,,2.5,I 1 2 1
35142,5yyz,0.2225,,1.8,C 1 2 1
35143,8i3e,0.2979,,2.7,C 1 2 1
35144,6chp,0.197,,1.94,I 2 3
35145,3a6s,0.231,,1.8,P 1 21 1
35146,6thu,0.216,,2.6,P 21 21 21
35147,6qs5,0.2189,,1.96,C 1 2 1
35148,3aeo,0.194,,2.15,P 1 21 1
35149,6tbz,0.226,,1.78,P 32
35150,1fk9,0.301,,2.5,P 21 21 21
35151,8cjo,0.2093,,1.87,P 1 21 1
35152,5yzh,0.2214,,1.99,C 1 2 1
35153,6ynt,0.1914,,1.52,P 21 21 21
35154,2qrs,0.252,,2.0,P 1 21 1
35155,4bcb,0.20263,,1.7,P 21 21 21
35156,1z3p,0.233,,2.0,P 31 2 1
35157,3ff2,,,1.9,P 43 21 2
35158,7ylf,0.2325,,1.9,P 32 2 1
35159,8i59,0.2279,,3.21,P 41 21 2
35160,2w2x,0.2944,,2.3,C 1 2 1
35161,6cpu,0.22626,,1.8,C 1 2 1
35162,2a4g,0.265,,2.5,H 3 2
35163,1ia5,0.215,,2.0,P 21 21 2
35164,2z3z,0.212,,1.95,P 63 2 2
35165,2qcw,0.2759,,2.49,P 31 2 1
35166,7bm1,0.2177,,1.37,P 21 21 21
35167,1faa,0.268,,1.85,P 1 21 1
35168,7fcc,0.2431,,2.14,P 21 21 21
35169,2w9a,0.246,,2.6,P 21 21 2
35170,6alr,0.206,,1.55,C 1 2 1
35171,7lhr,0.2492,,3.11,P 43 21 2
35172,5a3n,0.20335,,2.0,P 65 2 2
35173,5yta,0.2288,,2.1,P 32 2 1
35174,3l7z,0.289,,2.41,C 1 2 1
35175,5z27,0.1787,,1.6,I 2 2 2
35176,3b0i,0.25602,,1.8,P 1 21 1
35177,1a2b,0.268,,2.4,P 21 21 2
35178,4qww,0.239,,2.7,P 21 21 2
35179,4w5m,0.2564,,1.2,C 1 2 1
35180,6lgw,0.2684,,2.9,P 21 21 21
35181,6ll8,0.1216,,1.3,P 1 21 1
35182,4avj,0.2026,,2.1,P 31 2 1
35183,7ak8,0.2678,,2.5,P 32
35184,6kzl,0.1916,,1.76,P 21 21 21
35185,6ym0,0.3188,,4.36,P 41 21 2
35186,4yqj,0.197,,1.94,H 3 2
35187,7b0h,0.2472,,3.15,P 21 21 21
35188,8t5g,0.2403,,1.92,P 1
35189,7kto,0.2471,,2.13,C 2 2 21
35190,4lab,0.2605,,2.5,P 43 21 2
35191,7f99,0.2277,,1.98,P 1 21 1
35192,3lbe,0.188,,1.7,P 21 21 21
35193,3t5w,0.241,,1.8,P 21 21 21
35194,1i6t,,,1.2,H 3 2
35195,3kzo,0.229,,1.9,I 21 3
35196,5icv,0.2084,,1.53,P 41
35197,7biz,0.1916,,1.53,P 31 2 1
35198,7chs,0.2244,,2.4,C 1 2 1
35199,5hyo,0.2689,,2.1,P 21 21 21
35200,6cgc,0.26,,2.1,P 21 21 21
35201,6qr0,0.1987,,1.59,P 21 21 21
35202,4bh8,0.251,,2.4,P 1 21 1
35203,5ci1,0.1833,,1.95,P 61 2 2
35204,2b13,0.2005,,1.55,P 41
35205,7a8r,0.2528,,2.31,P 21 21 21
35206,3kv7,0.20481,,1.56,C 1 2 1
35207,7l1y,0.203,,1.2,P 43 21 2
35208,3w0e,0.2559,,1.8,H 3 2
35209,6t71,0.1992,,1.52,C 1 2 1
35210,7aco,0.2035,,1.8,P 1 21 1
35211,5q96,0.2491,,1.83,P 21 21 21
35212,4z4p,0.24247,,2.2,P 1 21 1
35213,6aqh,0.254,,2.35,P 1
35214,7alr,0.2039,,1.93,P 1 21 1
35215,3llk,0.272,,2.0,C 2 2 2
35216,8bhz,0.2582,,2.4,C 2 2 21
35217,2qcz,0.329,,2.7,P 21 21 21
35218,4ley,0.1911,,2.5,P 1 21 1
35219,5te9,0.269,,2.4,C 2 2 21
35220,2w12,0.178,,1.46,P 21 21 21
35221,6te7,,,1.5,P 65 2 2
35222,2br8,0.25,,2.4,P 1 21 1
35223,7clf,0.2489,,1.98,P 1 21 1
35224,3aq8,0.2338,,1.83,P 65 2 2
35225,8b2a,0.255,,1.65,P 1 2 1
35226,6vt4,0.2517,,2.16,P 32
35227,9cg8,0.2664,,1.9,P 31 2 1
35228,7bd5,0.2327,,1.69,P 21 21 21
35229,6krx,0.1743,,1.7,C 1 2 1
35230,4atq,0.248,,2.75,P 21 21 2
35231,2a33,0.234,,1.95,P 21 21 21
35232,1yun,0.2429,,2.0,P 2 2 21
35233,6l2d,,,1.2,P 21 21 21
35234,4yl8,0.1907,,1.5,P 21 21 21
35235,1afd,0.282,,2.0,C 1 2 1
35236,8cq8,0.2402,,1.8,P 21 21 21
35237,2w8n,0.25,,2.0,F 4 3 2
35238,1fid,0.226,,2.1,P 21 21 2
35239,6anx,0.187,,1.62,I 41 2 2
35240,5fh5,0.237,,1.55,P 1 21 1
35241,3qu0,0.251,,1.95,P 21 21 21
35242,8wae,0.2068,,1.75,P 21 21 21
35243,3l24,0.273,,2.3,I 2 2 2
35244,5ktj,0.25719,,2.97,I 41 2 2
35245,5hxe,0.2389,,2.29,P 21 21 21
35246,9f8w,0.24605,,2.35,H 3
35247,2w6e,0.285,,6.5,P 21 21 21
35248,5led,0.2898,,2.6,P 1 21 1
35249,7l9c,0.2262,,1.85,P 32 2 1
35250,6t8q,0.2162,,2.51,P 65 2 2
35251,5a00,0.27963,,2.75,I 2 2 2
35252,1qxs,0.27644,,2.75,P 1 21 1
35253,4ahc,0.22936,,2.4,P 1 21 1
35254,4bht,0.2268,,2.5,P 21 21 21
35255,2quq,0.285,,2.8,P 43 21 2
35256,6asl,0.201,,1.9,P 43 21 2
35257,9f5b,0.2335,,1.8,P 3 1 2
35258,6ar9,0.2176,,2.28,P 1 21 1
35259,3w6f,0.2421,,2.1,P 61 2 2
35260,1t2l,0.269,,2.8,C 1 2 1
35261,3tkp,0.222,,2.49,C 1 2 1
35262,4arr,0.2539,,3.0,P 43 21 2
35263,7qaz,0.2608,,2.11,P 21 21 21
35264,2bku,0.279,,2.7,P 21 21 21
35265,6lnq,0.2391,,2.24,C 1 2 1
35266,4qiu,0.1982,,1.4,P 1 21 1
35267,4kz4,0.1757,,1.42,C 1 2 1
35268,4lla,0.272,,2.5,P 1 21 1
35269,4bla,0.2932,,3.5,P 21 21 2
35270,6qs9,0.2723,,2.8,C 1 2 1
35271,8cfk,0.1897,,1.73,P 1 21 1
35272,5cea,0.2104,,1.85,P 21 21 21
35273,5lik,0.2444,,2.05,P 31
35274,8acd,0.1837,,1.39,C 1 2 1
35275,5lcp,0.1659,,1.43,P 21 21 21
35276,7crz,0.212,,2.3,P 1 21 1
35277,8b77,0.2731,,2.7,C 1 2 1
35278,4wa7,0.2325,,1.99,P 63
35279,4bc5,0.1924,,1.98,P 32
35280,4bcs,0.22598,,1.8,P 21 21 2
35281,3bcg,0.268,,2.48,P 31
35282,6th4,0.226,,2.12,P 21 21 21
35283,1l23,,,1.7,P 32 2 1
35284,5qdt,0.216,,1.82,P 31 2 1
35285,6z4n,0.1787,,1.2,P 21 21 21
35286,7qpp,0.1662,,1.52,P 21 21 21
35287,5ia1,0.223,,2.04,P 1 21 1
35288,4z12,0.2049,,1.85,P 1 21 1
35289,5abh,0.25221,,1.95,P 2 21 21
35290,8cn9,0.3557,,3.4,P 1 21 1
35291,3t4c,0.203,,1.95,P 21 21 21
35292,7a1i,0.2507,,1.87,C 2 2 21
35293,5ac7,0.2138,,1.9,P 61 2 2
35294,5bmx,0.2156,,1.8,P 21 21 21
35295,3b3c,0.226,,1.46,P 61 2 2
35296,4ysx,0.221,,2.25,P 21 21 21
35297,5qtg,0.3071,,2.09,P 61 2 2
35298,6qkb,0.1765,,1.7,P 21 21 21
35299,7l9f,0.1877,,1.75,P 1
35300,4fgw,0.207,,2.45,P 43
35301,2icr,,,1.51,C 2 2 21
35302,3aro,0.2159,,2.22,P 1 21 1
35303,7ku9,0.177,,1.4,C 1 2 1
35304,6l34,0.199,,2.0,P 62
35305,8hye,0.22535,,2.2,P 64 2 2
35306,5yz1,0.23395,,1.97,P 21 21 21
35307,3crl,0.274,,2.61,P 1 21 1
35308,3a4y,0.282,,2.5,C 1 2 1
35309,7bjn,0.2695,,2.3,H 3
35310,4z06,0.20045,,1.55,C 1 2 1
35311,4qj0,0.2247,,1.55,P 1 21 1
35312,4aj3,0.224,,1.9,P 43 21 2
35313,6qkx,0.2735,,2.4,I 41
35314,3b1u,0.2502,,2.1,C 1 2 1
35315,2qup,0.229,,2.0,C 1 2 1
35316,1i1e,0.276,,2.5,P 1 21 1
35317,7an7,0.2351,,1.81,P 1 21 1
35318,1kyr,,,1.5,P 21 21 21
35319,3cqu,0.283,,2.2,P 1 21 1
35320,5kqv,0.266,,4.4,I 1 2 1
35321,5lot,0.2552,,2.25,P 1 21 1
35322,6lf4,0.2569,,2.01,P 21 21 21
35323,5cio,0.2545,,2.5,C 1 2 1
35324,8q9r,0.2727,,2.25,P 1 21 1
35325,2icw,0.288,,2.41,P 1
35326,2yoe,0.2299,,3.9,P 1 21 1
35327,4coo,0.2007,,2.0,P 21 21 21
35328,6fea,0.1446,,1.2,P 1
35329,3qpd,0.184,,1.57,P 32 2 1
35330,4l94,0.2135,,1.65,I 2 2 2
35331,3cs3,0.24916,,2.4,P 65 2 2
35332,3i34,0.22,,1.0,P 43 21 2
35333,2fiv,,,2.0,P 31
35334,7ku1,0.2637,,2.39,P 41 21 2
35335,3a9i,0.21338,,1.8,C 2 2 21
35336,1ave,,,2.8,P 42 21 2
35337,6i2f,0.1388,,1.2,P 1 21 1
35338,5fcr,0.19599,,1.25,P 1
35339,5kwh,0.208,,2.12,P 43 21 2
35340,5t76,0.258,,2.0,P 1 21 1
35341,5qd9,0.211,,2.6,P 1 21 1
35342,4lgi,0.28,,2.3,P 1 21 1
35343,25c8,0.292,,2.0,C 1 2 1
35344,4yte,0.2556,,2.15,P 32 2 1
35345,5fj4,0.2369,,2.95,C 2 2 21
35346,7qp5,0.252,,1.92,C 1 2 1
35347,7bos,0.2626,,1.7,P 21 21 21
35348,6aap,0.1962,,1.5,C 1 2 1
35349,5ahn,0.1815,,1.65,I 4
35350,7a79,0.2483,,2.05,P 21 21 21
35351,1l0a,0.295,,2.9,P 3 2 1
35352,3i10,0.172,,1.35,C 2 2 21
35353,5z2l,0.1789,,1.7,P 1
35354,5lbt,0.2265,,1.75,P 21 21 21
35355,7kth,0.1901,,1.48,P 21 21 21
35356,5tf5,0.2453,,1.81,P 21 21 21
35357,5qj2,0.272,,2.82,C 2 2 21
35358,8t2a,0.2432,,3.17,I 2 2 2
35359,2bn3,0.161,,1.4,I 21 3
35360,5ai9,0.23,,1.8,P 65 2 2
35361,6hy1,0.2003,,1.6,C 1 2 1
35362,3hyd,0.18,,1.0,C 1 2 1
35363,8bc9,0.249,,2.3,P 21 21 21
35364,6w6a,0.234,,2.45,C 1 2 1
35365,4l1y,0.259,,1.55,P 1 21 1
35366,1hyz,0.291,,2.3,P 31 2 1
35367,6f8x,0.2046,,1.95,P 21 21 21
35368,7lfp,0.261,,2.2,P 21 21 21
35369,1qtx,0.214,,1.65,P 21 21 21
35370,6apf,0.191,,1.63,P 43 21 2
35371,5kv5,0.21,,1.7,P 21 21 21
35372,8bin,0.17095,,1.5,P 1 21 1
35373,6cng,0.165,,1.47,P 1 21 1
35374,3lo8,0.1554,,1.05,P 32 2 1
35375,1qwh,0.2225,,1.36,P 21 21 2
35376,1a5n,,,2.4,I 21 3
35377,8f6b,0.2215,,2.75,P 32
35378,6ywb,0.2563,,2.5,P 41 21 2
35379,8t1s,0.2381,,2.0,P 1 21 1
35380,4a6w,0.2262,,1.46,P 1 21 1
35381,7a70,0.2391,,1.8,P 43 21 2
35382,5qn2,0.302,,2.3,C 1 2 1
35383,4kt0,0.2446,,2.8,P 21 21 21
35384,5t6c,0.2563,,1.9,P 21 21 21
35385,3aae,0.2709,,3.3,C 1 2 1
35386,6kx5,0.2303,,2.0,P 1
35387,4w52,0.182,,1.5,P 32 2 1
35388,3t8q,0.193,,2.0,P 21 21 2
35389,4ll4,0.264,,2.7,P 1 21 1
35390,3blh,0.221,,2.48,H 3
35391,8i04,0.2102,,2.3,P 32 2 1
35392,7cmo,0.2773,,3.4,P 21 21 21
35393,5b3q,0.2342,,3.0,P 63
35394,7cpw,0.2554,,2.85,P 2 2 21
35395,4qdy,,,2.74,P 64 2 2
35396,4z0j,0.2601,,2.07,P 1 21 1
35397,6yom,0.2359,,3.25,P 43 21 2
35398,5quo,0.2092,,1.34,P 21 21 21
35399,6qpu,0.237,,2.25,C 2 2 21
35400,4fgt,0.229,,2.0,P 31 2 1
35401,2b6e,0.22,,1.9,P 1 21 1
35402,3kpt,0.277,,2.1,P 21 21 21
35403,5yqj,0.2106,,1.5,P 1 21 1
35404,7b5w,0.226,,1.0,C 1 2 1
35405,5lns,0.1886,,1.91,H 3
35406,8t31,0.2635,,2.1,P 21 21 21
35407,9bce,0.1958,,1.4,C 1 2 1
35408,3hzl,0.244,,1.55,C 1 2 1
35409,7ba1,0.2639,,1.93,P 21 21 21
35410,4qhc,0.2073,,1.9,P 21 21 21
35411,6w7i,0.239,,2.1,P 1 21 1
35412,2yze,0.2184,,1.99,P 21 21 21
35413,3tc8,0.1315,,1.06,P 1
35414,6l91,0.1865,,1.84,P 32 2 1
35415,6qj1,0.262,,2.56,P 21 21 21
35416,6vzw,0.244,,2.5,P 1 21 1
35417,8tay,0.2226,,2.02,P 1 21 1
35418,3bp6,0.21833,,1.6,P 1 21 1
35419,7thb,0.2841,,1.64,P 1
35420,8fik,0.2317,,1.91,P 1 21 1
35421,1yqq,0.2584,,2.6,P 21 21 2
35422,5l5q,0.2095,,2.8,P 1 21 1
35423,4azs,0.22168,,2.15,I 2 3
35424,3cpt,0.27718,,1.9,P 21 21 21
35425,4a1z,0.2574,,2.8,P 1 21 1
35426,8crj,0.2061,,2.6,P 41 21 2
35427,3kve,0.2761,,2.57,C 1 2 1
35428,1aq6,0.248,,1.95,P 21 21 21
35429,4kvc,0.234,,2.31,P 2 21 21
35430,6kwo,0.2231,,1.8,C 1 2 1
35431,8aki,0.1849,,1.4,P 21 21 2
35432,2f9j,0.2659,,3.0,P 41
35433,5ano,0.25467,,1.7,P 21 21 21
35434,5w1g,0.282,,2.0,C 1 2 1
35435,8b8o,0.2889,,2.9,C 1 2 1
35436,4l9f,0.237,,2.5,P 61 2 2
35437,7yta,0.2708,,2.31,P 41 21 2
35438,8vxs,0.1758,,1.2,C 1 2 1
35439,2z5g,0.212,,1.8,C 1 2 1
35440,8cr4,0.2064,,0.91,P 1
35441,5av0,0.2198,,1.85,P 21 21 21
35442,4ahg,0.2747,,2.45,C 2 2 21
35443,7awx,0.303,,2.2,P 21 21 21
35444,5ays,0.2225,,2.09,P 1
35445,6ce6,0.196,,1.6,P 21 21 21
35446,8tfq,0.2155,,1.8,P 1 21 1
35447,3bnz,0.32347,,2.6,P 61 2 2
35448,195l,,,1.9,P 32 2 1
35449,3qjb,0.205,,1.8,P 41 21 2
35450,3ll7,0.209,,1.8,P 1 21 1
35451,7bbo,0.2255,,1.32,P 21 21 21
35452,3ab5,0.19575,,1.18,P 1 21 1
35453,3vym,0.264,,2.0,P 31 2 1
35454,4bdt,0.2189,,3.1,H 3 2
35455,8cm9,0.224,,2.8,P 3 2 1
35456,6l23,0.2287,,1.97,P 21 21 21
35457,3ktp,0.2307,,1.5,P 43 21 2
35458,5id9,0.22906,,2.48,P 61
35459,8i29,0.25799,,2.72,I 2 2 2
35460,4crj,0.1996,,2.0,P 61
35461,2icu,0.20319,,1.6,P 1 21 1
35462,3qbw,0.2103,,2.23,P 63
35463,1lh5,,,2.0,B 1 1 2
35464,4a8o,0.2247,,2.67,P 1 21 1
35465,2brh,0.257,,2.1,P 1 21 1
35466,5clx,0.1758,,1.28,P 21 21 2
35467,4a2w,0.27365,,3.7,P 41 21 2
35468,2w8v,0.189,,1.43,C 2 2 21
35469,7t3x,0.2495,,3.53,P 65
35470,1ah5,0.235,,2.4,P 21 21 2
35471,3i53,0.272,,2.08,C 2 2 21
35472,3vti,0.2506,,2.56,P 21 21 21
35473,8cfl,0.2014,,1.73,C 1 2 1
35474,4yxj,0.2433,,2.55,P 4 21 2
35475,1qq6,0.219,,2.1,P 21 21 21
35476,3la6,0.223,,3.2,C 1 2 1
35477,6com,0.2092,,2.3,C 1 2 1
35478,3i1g,0.287,,1.6,P 32 2 1
35479,6ia8,0.2147,,1.9,P 41 21 2
35480,5f8c,0.22599,,1.83,C 1 2 1
35481,4alb,0.2632,,3.03,P 32 2 1
35482,2fgy,0.217,,2.2,P 1
35483,7kt1,0.1886,,1.66,P 21 21 21
35484,1yv1,0.206,,1.5,P 21 21 21
35485,7bfz,0.1833,,1.73,I 2 2 2
35486,3i4p,0.214,,2.3,I 4 2 2
35487,3azg,0.269,,2.4,P 21 21 21
35488,5lja,0.2977,,2.4,P 61 2 2
35489,4q9w,0.1499,,1.0,P 1 21 1
35490,6cll,0.27985,,1.02,P 1
35491,6a6x,0.2706,,2.7,P 41 21 2
35492,5qe7,0.233,,1.71,P 31 2 1
35493,3i9l,0.19634,,1.75,P 1 21 1
35494,5a67,0.1754,,1.3,P 1 21 1
35495,4i0g,0.30046,,1.78,C 2 2 21
35496,3ths,0.28,,2.5,C 1 2 1
35497,5ytn,0.22736,,1.75,H 3
35498,7qlq,0.2331,,2.6,P 21 21 21
35499,6llw,0.2152,,2.26,P 21 21 2
35500,5w27,0.2,,1.8,P 21 21 21
35501,7aig,0.257,,2.95,P 1 21 1
35502,3acz,0.19,,1.97,P 1 21 1
35503,5wa3,0.242,,2.8,H 3
35504,5iab,0.213,,1.79,C 1 2 1
35505,2w90,0.234,,2.2,P 21 21 21
35506,4cja,0.2676,,2.65,P 1 21 1
35507,7bet,0.2451,,2.3,P 61 2 2
35508,6b5r,0.2371,,1.77,P 21 21 21
35509,6ypd,0.1874,,1.6,P 43 3 2
35510,3bes,0.245,,2.2,I 2 2 2
35511,3hzp,0.184,,1.4,P 32 2 1
35512,8vxu,0.289,,2.29,P 1
35513,4f6d,0.1971,,1.8,P 21 21 21
35514,3bbr,0.231,,2.25,P 21 21 2
35515,4a0d,0.1962,,1.75,P 21 21 21
35516,5f64,0.223,,2.71,C 1 2 1
35517,7qm7,0.2272,,1.79,P 1 21 1
35518,7lca,0.2828,,2.0,P 1 21 1
35519,5kve,0.213,,1.7,C 2 2 21
35520,8fdj,0.27612,,1.75,P 1 21 1
35521,2fcp,0.283,,2.5,P 61
35522,7yoe,0.2215,,1.88,I 41
35523,1kqp,,,1.03,P 1 21 1
35524,1w6x,0.2496,,2.0,P 1 21 1
35525,8vvb,0.2092,,1.78,P 21 21 21
35526,5a7c,0.2556,,1.9,C 1 2 1
35527,2z0z,0.191,,2.0,P 32 2 1
35528,8cn8,0.1747,,1.8,P 1 21 1
35529,4apm,0.25049,,2.3,P 21 21 2
35530,1td6,0.298,,2.5,I 41 2 2
35531,6yza,0.1734,,1.3,P 31 2 1
35532,7t36,0.2027,,1.65,P 21 21 21
35533,1b26,0.295,,3.0,P 31 2 1
35534,6qsk,0.3196,,3.39,P 1
35535,5i1f,0.203,,2.15,P 62 2 2
35536,4feb,0.2745,,2.8,C 1 2 1
35537,6tiu,0.244,,3.57,P 21 21 21
35538,4bk8,0.1995,,1.85,P 64 2 2
35539,7bem,0.2469,,2.52,P 62 2 2
35540,3lom,0.2668,,2.3,P 43 21 2
35541,4aml,0.23194,,1.6,P 32 2 1
35542,7w5l,0.2352,,2.5,P 62 2 2
35543,231l,,,2.5,P 32 2 1
35544,4i13,0.1803,,1.6,P 21 21 21
35545,5fcl,0.232,,2.7,C 1 2 1
35546,3cq2,0.255,,1.9,C 2 2 21
35547,6b4q,0.1857,,1.6,P 21 3
35548,5i6l,0.1408,,1.08,P 21 3
35549,4qo5,0.201,,1.7,H 3 2
35550,5hxy,0.24321,,2.5,C 1 2 1
35551,7bom,0.1961,,1.93,F 4 3 2
35552,5i0j,0.211,,1.8,P 21 21 2
35553,3ceu,0.232,,2.3,P 1
35554,5wa6,0.2535,,2.25,I 4 2 2
35555,4z0c,0.244,,2.3,P 21 21 21
35556,7qy9,0.3457,,1.92,P 41 21 2
35557,8t8n,0.2003,,2.32,P 21 21 21
35558,5b6c,0.1995,,1.55,H 3
35559,4i2t,0.2003,,1.4,P 1 21 1
35560,1id1,0.236,,2.4,P 41
35561,7ku0,0.1941,,2.02,P 41 21 2
35562,5awt,0.2344,,2.7,P 4 21 2
35563,4fas,0.20583,,2.1,P 21 21 2
35564,1lh3,,,2.0,B 1 1 2
35565,5yzc,0.2215,,2.33,I 21 3
35566,8agk,0.2365,,1.5,P 1 21 1
35567,8b2m,0.214,,1.7,P 31 2 1
35568,4qjb,0.2418,,2.05,P 1 21 1
35569,2au8,,,1.65,H 3 2
35570,7qmp,0.2464,,1.79,P 1 21 1
35571,4krp,0.2627,,2.82,P 1 21 1
35572,5qs8,0.2342,,1.47,H 3 2
35573,6qme,0.29154,,1.81,P 61
35574,2qsk,0.147,,1.0,P 21 21 21
35575,5qc1,0.271,,2.08,C 1 2 1
35576,5a30,0.28716,,2.75,P 21 21 21
35577,2a4k,0.2478,,2.3,P 1 21 1
35578,5t1v,0.288,,3.1,P 41 21 2
35579,3fa9,0.276,,1.94,P 1
35580,4bi6,0.20687,,1.45,I 2 2 2
35581,2i4c,0.218,,1.7,P 1
35582,6ymc,0.2409,,2.0,P 21 21 21
35583,1a08,,,2.2,P 21 21 21
35584,5vup,0.229,,1.94,P 21 21 21
35585,7le8,0.2111,,1.64,P 21 21 21
35586,3l60,0.2222,,2.0,I 2 3
35587,6adw,0.2156,,2.2,P 1 21 1
35588,2bou,0.2547,,1.9,P 21 21 2
35589,6ayu,0.252,,2.2,P 61 2 2
35590,3cse,0.23171,,1.6,P 41
35591,1a0s,0.228,,2.4,P 32
35592,1l6j,0.23,,2.5,P 65
35593,3aye,0.21,,2.0,P 1
35594,2afc,0.288,,2.5,C 1 2 1
35595,6w82,0.302,,3.6,P 21 21 21
35596,6l4g,0.2263,,3.3,P 32 2 1
35597,3q9l,0.3068,,2.34,P 21 21 21
35598,6aob,0.1963,,1.7,C 2 2 21
35599,7b7s,0.2906,,2.54,P 1 21 1
35600,6b8v,0.24,,2.55,P 31 1 2
35601,3bi6,0.2505,,2.2,P 41 21 2
35602,3bce,0.251,,2.5,P 32
35603,1ceq,0.238,,2.0,I 2 2 2
35604,5lgg,0.2265,,2.15,C 2 2 21
35605,5coq,0.2122,,2.3,C 1 2 1
35606,4yxx,0.2955,,2.18,C 2 2 21
35607,5lbg,0.2062,,1.54,P 1 21 1
35608,4ajf,0.2483,,1.9,P 21 21 21
35609,3fau,0.242,,1.9,P 1 21 1
35610,3kti,0.253,,2.0,C 1 2 1
35611,1i1w,0.1061,,0.89,P 1 21 1
35612,1lb2,0.244,,3.1,P 62 2 2
35613,3avm,0.1966,,1.88,P 31
35614,3ax8,0.294,,2.6,P 21 21 21
35615,5feu,0.211,,1.73,P 42 2 2
35616,4qqt,0.248,,1.5,P 1 21 1
35617,4w6j,0.212,,1.7,P 31 2 1
35618,4cml,0.1993,,2.3,P 21 3
35619,4ys6,0.183,,1.7,P 65 2 2
35620,5yob,0.1774,,1.14,P 1 21 1
35621,2qvo,0.27983,,1.85,P 42
35622,6avw,0.226,,2.14,P 21 21 21
35623,3b4o,0.245,,1.9,P 32 2 1
35624,4ci4,0.2579,,2.3,P 41 21 2
35625,337d,,,1.85,P 43 21 2
35626,3bc9,0.17814,,1.35,C 1 2 1
35627,5qbu,0.234,,2.78,C 1 2 1
35628,4bgh,0.24616,,1.95,P 21 21 21
35629,6tdt,0.1769,,1.53,C 1 2 1
35630,3l94,0.19985,,1.95,C 2 2 21
35631,1bgq,0.263,,2.5,P 43 2 2
35632,7yp8,0.2308,,2.1,P 21 21 21
35633,4cn9,0.2077,,1.9,P 1 21 1
35634,7yzh,0.198,,1.79,P 32 2 1
35635,4ibr,0.24745,,2.2,C 1 2 1
35636,3as2,0.1934,,1.8,P 21 21 21
35637,3hzx,0.237,,2.0,P 21
35638,3i90,0.3,,2.0,P 65 2 2
35639,3lfs,0.25,,2.4,P 21 21 21
35640,8b8d,0.3106,,2.4,P 21 21 2
35641,2w3g,0.21743,,1.4,P 21 21 21
35642,6a8g,0.2455,,2.53,P 31 2 1
35643,6fig,0.19214,,1.48,P 1
35644,1qhh,0.285,,2.5,P 65
35645,1ylv,,,2.15,I 4 2 2
35646,2csl,0.267,,2.5,P 21 21 21
35647,9azb,0.3423,,2.9,P 32 2 1
35648,2yp2,0.195,,1.9,R 3 2 :H
35649,5kzx,0.185,,2.0,P 21 21 21
35650,4yqz,0.21,,1.81,P 1 21 1
35651,6l70,0.207,,1.56,P 1 21 1
35652,4qll,0.18517,,1.85,P 21 21 21
35653,3apq,0.23,,1.84,P 1 21 1
